kind,metric,arm,unit,value
test_cross_panel,PCC,shared_only,panel_01/panel_02,0.74651527008357
test_cross_panel,PCC,shared_only,panel_01/panel_03,0.8408267625475304
test_cross_panel,PCC,shared_only,panel_01/panel_04,0.8438037460718641
test_cross_panel,PCC,shared_only,panel_02/panel_03,0.7533150141181029
test_cross_panel,PCC,shared_only,panel_02/panel_04,0.7640577442695403
test_cross_panel,PCC,shared_only,panel_03/panel_04,0.8436414937945901
test_cross_panel,RMSE,shared_only,panel_01/panel_02,0.5540156141180516
test_cross_panel,RMSE,shared_only,panel_01/panel_03,0.4108842411682583
test_cross_panel,RMSE,shared_only,panel_01/panel_04,0.3907875424582883
test_cross_panel,RMSE,shared_only,panel_02/panel_03,0.5446314368646613
test_cross_panel,RMSE,shared_only,panel_02/panel_04,0.5086100573095267
test_cross_panel,RMSE,shared_only,panel_03/panel_04,0.3997012350593442
test_cross_panel,peak_Jaccard,shared_only,panel_01/panel_02,0.3919123053163991
test_cross_panel,peak_Jaccard,shared_only,panel_01/panel_03,0.4818670039458878
test_cross_panel,peak_Jaccard,shared_only,panel_01/panel_04,0.4891070850281818
test_cross_panel,peak_Jaccard,shared_only,panel_02/panel_03,0.3975266428581808
test_cross_panel,peak_Jaccard,shared_only,panel_02/panel_04,0.4232519576776067
test_cross_panel,peak_Jaccard,shared_only,panel_03/panel_04,0.4996724534506784
selected_validation_fit,PCC,shared_only,panel_01,0.19773830473423
selected_validation_fit,PCC,shared_only,panel_02,0.1841944754123687
selected_validation_fit,PCC,shared_only,panel_03,0.2017455697059631
selected_validation_fit,PCC,shared_only,panel_04,0.1904293894767761
selected_validation_fit,replica_NLL,shared_only,panel_01,0.4651902318000793
selected_validation_fit,replica_NLL,shared_only,panel_02,0.4627438187599182
selected_validation_fit,replica_NLL,shared_only,panel_03,0.4835044741630554
selected_validation_fit,replica_NLL,shared_only,panel_04,0.4654043018817901
test_cross_panel,PCC,equal,panel_01/panel_02,0.7783538584294134
test_cross_panel,PCC,equal,panel_01/panel_03,0.8188889662443152
test_cross_panel,PCC,equal,panel_01/panel_04,0.827203624765566
