audit_date,task,status,array_index,profile_rows,checkpoint_epoch_zero_based,checkpoint_global_step,optimizer_state,scheduler_state,prediction_artifact,resume_checkpoint
2026-09-10,N002/pair01_A,complete,,1771,,,,,N002/pair01_A/predictions/soto_2021_weber_2024/queueNB_DataN2_hc3b8a4_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N002/pair01_B,complete,,1771,,,,,N002/pair01_B/predictions/muller_2023_suzuki_2020/queueNB_DataN2_h23329d_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N002/pair02_A,complete,,1771,,,,,N002/pair02_A/predictions/han_2021_kito_2023/queueNB_DataN2_h180496_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N002/pair02_B,complete,,1771,,,,,N002/pair02_B/predictions/iwasaki_2018_soto_2021/queueNB_DataN2_hae1fb3_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N002/pair03_A,complete,,1771,,,,,N002/pair03_A/predictions/wei_2022_wu_2021/queueNB_DataN2_h726dea_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N002/pair03_B,complete,,1771,,,,,N002/pair03_B/predictions/eliseeva_2024_han_2021/queueNB_DataN2_h4b17fd_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N005/pair01_A,complete,,1771,,,,,N005/pair01_A/predictions/barrington_2023_iwasaki_2018_tang_2017_wu_2021_zhu_2024/queueNB_DataN5_ha653e4_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N005/pair01_B,complete,,1771,,,,,N005/pair01_B/predictions/mazor_2018_mazor_2018_chx_wan_2016_weber_2020_weber_2020_ctr/queueNB_DataN5_h4a19a3_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N005/pair02_A,complete,,1771,,,,,N005/pair02_A/predictions/cipullo_2023_iwasaki_2018_santos_2026_sidrauski_2015_weber_2022/queueNB_DataN5_hf0d9dc_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N005/pair02_B,complete,,1771,,,,,N005/pair02_B/predictions/matsuura_suzuki_2022_sauer_2019_wilczynska_2019_wu_2020_hek_zhou_2024/queueNB_DataN5_h75f5e2_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N005/pair03_A,complete,,1771,,,,,N005/pair03_A/predictions/akichika_2019_huang_2026_sharma_2020_dmso_weber_2020_weber_2020_ctr/queueNB_DataN5_h764d12_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N005/pair03_B,complete,,1771,,,,,N005/pair03_B/predictions/apostolopoulos_2024_Cas13_apostolopoulos_2024_dCas13_m6atrans_2025_shichino_2024_weber_2024/queueNB_DataN5_h658896_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair01_A,complete,,1771,,,,,N010/pair01_A/predictions/10_datasets_mix_191718/queueNB_DataN10_hdbed8b_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair01_B,complete,,1771,,,,,N010/pair01_B/predictions/10_datasets_mix_a4cff9/queueNB_DataN10_h958930_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair02_A,complete,,1771,,,,,N010/pair02_A/predictions/10_datasets_mix_22cad3/queueNB_DataN10_h0f1c97_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
2026-09-10,N010/pair02_B,complete,,1771,,,,,N010/pair02_B/predictions/10_datasets_mix_824398/queueNB_DataN10_h7cfc4e_Loss-rNB1p0-cPCC0p5-cVSTPCC0p5-Gamma0p0-Reducetranscript_balanced-NBModestandard_nb-Alphalearned-Beta0p0_Sampling_transcript_grouped_multidataset_pairs_GammaRawB8p0_GammaCtrFixedRefEqual_FeatPresetBaseline_SeqFeatBase/common_test_L_profiles.parquet,
