dataset_count	pair_comparable	L_vs_K_PCC_interior_equal	L_vs_K_PCC_interior_quality_rank	L_vs_K_RMSE_interior_equal	L_vs_K_RMSE_interior_quality_rank
3	True	0.7424048229503529	0.7423752131416583	0.4692517958608846	0.4688671035742724
6	True	0.7909415849873158	0.7862960300361859	0.4122514764471723	0.4045825197329064
9	True	0.8838566780272487	0.8845892188443256	0.2693179082176652	0.2677316763913226
12	True	0.9187896130729044	0.9173772649434347	0.2181781807183857	0.2197521447866896
15	True	0.9309298444511312	0.9314384916506204	0.2083403512728075	0.2029685860312827
18	False		0.9402449177896416		0.1865100195506218
21	False	0.951111438661749		0.16623958068256
24	True	0.958450452076362	0.9597714555251234	0.1536780173223143	0.1518632578957512
27	True	0.9624290663181616	0.9600954747515624	0.1494404270222301	0.1561298725452356
30	True	0.9642907344845076	0.9655384763452513	0.1442121614407558	0.1436669857835431
