kind	old_path	new_path	note
rule	results/*.py	analyses/<same-filename>.py	All top-level analysis Python files except the four explicitly renamed below
script	results/13_gamma_ablation_recovery.py	analyses/synthetic_gamma_ablation_lbio_recovery.py	Descriptive replacement for numeric name
script	results/14_gamma_ablation_biological_quality.py	analyses/synthetic_gamma_ablation_biological_quality.py	Descriptive replacement for numeric name
script	results/15_gamma_ablation_report.py	analyses/synthetic_gamma_ablation_report.py	Descriptive replacement for numeric name
script	results/20_gamma_ablation_gamma_recovery.py	analyses/synthetic_gamma_ablation_gamma_recovery.py	Descriptive replacement for numeric name
module	results/gamma_ablation	analyses/gamma_ablation	Shared analysis helpers
template	results/templates	analyses/templates	Analysis report templates
document	results/README.md	analyses/HISTORICAL_INVENTORY.md	Pre-reorganization inventory retained for history
script	audit_four_panel_reference_quality.py	analyses/audit_four_panel_reference_quality.py	Real-data audit entry point
launcher	run_real_panel_weighting_analysis.sh	analyses/run_real_panel_weighting_analysis.sh	Analysis-only shell workflow
launcher	analyze_reproducibility_reference_campaign.slurm	analyses/launchers/analyze_reproducibility_reference_campaign.slurm	CPU analysis dependency job
launcher	analyze_reproducibility_reference_campaign_mapped_univie.slurm	analyses/launchers/analyze_reproducibility_reference_campaign_mapped_univie.slurm	UNIVIE CPU analysis dependency job
config	config/analysis_synthetic_mass_factor.yaml	analyses/configs/synthetic_mass_factor.yaml	Analysis-only configuration
config	config/analysis_synthetic_reference_target.yaml	analyses/configs/synthetic_reference_target.yaml	Analysis-only configuration
config	config/synthetic_hierarchy_figures.yaml	analyses/configs/synthetic_hierarchy_figures.yaml	Analysis-only configuration
config	config/synthetic_observation_layer_audit.yaml	analyses/configs/synthetic_observation_layers.yaml	Analysis-only configuration
artifact	results/riboai_synthetic_experiments/gamma_ablation_analysis	analyses/artifacts/synthetic/gamma_ablation	Derived outputs only
artifact	results/riboai_synthetic_experiments/inter_artificial_bias_analysis	analyses/artifacts/synthetic/inter_artificial_bias	Derived outputs only
artifact	results/riboai_synthetic_experiments/inter_shared_signal_analysis	analyses/artifacts/synthetic/inter_shared_signal	Derived outputs only
artifact	results/riboai_synthetic_experiments/mass_factor_audit	analyses/artifacts/synthetic/mass_factor	Derived outputs only
artifact	results/riboai_synthetic_experiments/read_depth_audit	analyses/artifacts/synthetic/read_depth	Derived outputs only
artifact	results/riboai_synthetic_experiments/recovery_report_within	analyses/artifacts/synthetic/shared_profile_recovery	Derived outputs only
artifact	results/riboai_synthetic_experiments/reference_target_audit	analyses/artifacts/synthetic/reference_target	Derived outputs only
artifact	results/riboai_synthetic_experiments/reference_target_audit_within_validation	analyses/artifacts/synthetic/reference_target_within_validation	Derived outputs only
artifact	results/synthetic_pi_demo_fixed_20260909/analysis_lbio_ranking	analyses/artifacts/synthetic/pi_demo/lbio_ranking	Derived outputs only
artifact	results/synthetic_pi_demo_fixed_20260909/analysis_mu_reconstruction	analyses/artifacts/synthetic/pi_demo/mu_reconstruction	Derived outputs only
artifact	results/synthetic_individual_dataset_audit	analyses/artifacts/synthetic/individual_dataset	Derived outputs only
artifact	results/synthetic_individual_dataset_audit_smoke	analyses/artifacts/synthetic/smoke_tests/individual_dataset	Smoke-test outputs
artifact	results/synthetic_input_data_audit	analyses/artifacts/synthetic/input_data	Derived outputs only
artifact	results/synthetic_input_data_audit_smoke	analyses/artifacts/synthetic/smoke_tests/input_data	Smoke-test outputs
artifact	results/synthetic_observation_layer_audit_smoke	analyses/artifacts/synthetic/smoke_tests/observation_layers	Smoke-test outputs
artifact	results/synthetic_preprocessed_dataset_audit	analyses/artifacts/synthetic/preprocessed_datasets	Derived outputs only
artifact	results/synthetic_prediction_robustness_appendix	analyses/artifacts/synthetic/prediction_robustness	Derived outputs only
artifact	results/synthetic_single_dataset_mu_pcc	analyses/artifacts/synthetic/single_dataset_mu	Derived outputs only
artifact	results/synthetic_hierarchy_staging	analyses/artifacts/synthetic/hierarchy/staging	Staged derived outputs
artifact	results/synthetic_hierarchy_readability_staging	analyses/artifacts/synthetic/hierarchy/readability_staging	Staged derived outputs
artifact	results/synthetic_K_q_hierarchy_*	analyses/artifacts/synthetic/hierarchy/<same-filename>	Five hierarchy tables/reports
artifact	results/synthetic_individual_dataset_audit_execution.log	analyses/artifacts/synthetic/individual_dataset/synthetic_individual_dataset_audit_execution.log	Execution log
artifact	results/synthetic_input_data_audit_execution.log	analyses/artifacts/synthetic/input_data/synthetic_input_data_audit_execution.log	Execution log
artifact	results/cumulative_selection_direction_quality_score_directional_seed42/analysis	analyses/artifacts/real_data/cumulative_selection_quality_score	Derived outputs only
artifact	results/cumulative_selection_direction_seed42/analysis	analyses/artifacts/real_data/cumulative_selection_direction	Derived outputs only
artifact	results/cumulative_stability_fixed_cohort_seed42/analysis	analyses/artifacts/real_data/cumulative_stability_fixed_cohort	Derived outputs only
artifact	results/cumulative_stability_seed42/analysis	analyses/artifacts/real_data/cumulative_stability	Derived outputs only
artifact	results/four_panel_stability_seed42/analysis	analyses/artifacts/real_data/four_panel_stability	Derived outputs only
artifact	results/four_quality_strata_seed42/analysis	analyses/artifacts/real_data/four_quality_strata	Derived outputs only
artifact	results/hek293_ncbi_metadata	analyses/artifacts/real_data/hek293_metadata	Derived metadata tables and report
artifact	results/riboai_benchmarking_experiments/benchmark_20260829_194806/analysis	analyses/artifacts/benchmarking/mu_fit	Derived outputs only
